"date","number","category","rank","songId"
"2025-10-05","23","national","1","amante-738a8171be"
"2025-10-05","23","national","2","quehago-96015e81a0"
"2025-10-05","23","national","3","mananateolvido-fd0e38bcef"
"2025-10-05","23","national","4","quetevayabien-64c66e3ede"
"2025-10-05","23","national","5","nosvamos-ec606a101a"
"2025-10-05","23","national","6","morena-080c0333b6"
"2025-10-05","23","national","7","unclasico-b17f0c89df"
"2025-10-05","23","national","8","patodalavida-b83f9a5b3b"
"2025-10-05","23","national","9","vibras-f5616bb528"
"2025-10-05","23","national","10","yaloves-2c4b523d6d"
"2025-10-05","23","international","1","senorbendito-2a53bceed4"
"2025-10-05","23","international","2","papasito-18c5517d39"
"2025-10-05","23","international","3","quehaces-d7cb3d98d9"
"2025-10-05","23","international","4","volver-d3eaababf5"
"2025-10-05","23","international","5","notienesentido-7ac99e1f15"
"2025-10-05","23","international","6","luna-3464cc2f4b"
"2025-10-05","23","international","7","memuevo-81b30013f0"
"2025-10-05","23","international","8","sonriele-dc3a5895ca"
"2025-10-05","23","international","9","azizam-2ccfa1c603"
"2025-10-05","23","international","10","mirameahora-3075c509d1"
