"date","number","category","rank","songId"
"2025-02-23","5","national","1","todoelmundobailando-c00363a787"
"2025-02-23","5","national","2","asicomoyo-0146c89ab8"
"2025-02-23","5","national","3","portuculpa-2f7567505f"
"2025-02-23","5","national","4","yojala-0d25f869e9"
"2025-02-23","5","national","5","bailandosuave-3b016b3ed0"
"2025-02-23","5","national","6","orgullo-b3c9292d7e"
"2025-02-23","5","national","7","losbesosquetedi-f1fa430ac3"
"2025-02-23","5","national","8","bonita-1fa820b1b1"
"2025-02-23","5","national","9","unclasico-b17f0c89df"
"2025-02-23","5","national","10","catalina-3a0e88846e"
"2025-02-23","5","international","1","apt-aa4359c93f"
"2025-02-23","5","international","2","caritatriste-b08e70e7e1"
"2025-02-23","5","international","3","soltera-af2453ae86"
"2025-02-23","5","international","4","dondeestabas-fdb3c1f87c"
"2025-02-23","5","international","5","uwaie-85b324d262"
"2025-02-23","5","international","6","diewithasmile-48d8a6a8fc"
"2025-02-23","5","international","7","cosaspendientes-19b5711dc3"
"2025-02-23","5","international","8","paquevolviste-a615566d6e"
"2025-02-23","5","international","9","bzrpmusicsessionsvol61-3f2dc8046c"
"2025-02-23","5","international","10","necessito-0aa1136034"
