"date","number","category","rank","songId"
"2025-09-07","20","national","1","quehago-96015e81a0"
"2025-09-07","20","national","2","unclasico-b17f0c89df"
"2025-09-07","20","national","3","quetevayabien-64c66e3ede"
"2025-09-07","20","national","4","amante-738a8171be"
"2025-09-07","20","national","5","nosvamos-ec606a101a"
"2025-09-07","20","national","6","mananateolvido-fd0e38bcef"
"2025-09-07","20","national","7","yaloves-2c4b523d6d"
"2025-09-07","20","national","8","morena-080c0333b6"
"2025-09-07","20","national","9","tactoquellegoelreparto-4a3c7212e1"
"2025-09-07","20","national","10","patodalavida-b83f9a5b3b"
"2025-09-07","20","international","1","volver-d3eaababf5"
"2025-09-07","20","international","2","senorbendito-2a53bceed4"
"2025-09-07","20","international","3","papasito-18c5517d39"
"2025-09-07","20","international","4","memuevo-81b30013f0"
"2025-09-07","20","international","5","quehaces-d7cb3d98d9"
"2025-09-07","20","international","6","exexex-4a717da72c"
"2025-09-07","20","international","7","azizam-2ccfa1c603"
"2025-09-07","20","international","8","elcielo-6db5846b8d"
"2025-09-07","20","international","9","luna-3464cc2f4b"
"2025-09-07","20","international","10","notienesentido-7ac99e1f15"
