"date","number","category","rank","songId"
"2024-09-08","31","national","1","silencioremix-df7b7a94c2"
"2024-09-08","31","national","2","catalina-3a0e88846e"
"2024-09-08","31","national","3","lalampara-19a4848639"
"2024-09-08","31","national","4","lacalentura-e7cb98c0ca"
"2024-09-08","31","national","5","lapersonacorrecta-8daadc1bc1"
"2024-09-08","31","national","6","elwhatsapp-7a05174f95"
"2024-09-08","31","national","7","lavidabailando-82797dc147"
"2024-09-08","31","national","8","fiestando-faff8dfb4b"
"2024-09-08","31","national","9","noteinstales-0c505ecf21"
"2024-09-08","31","national","10","dilealamor-563b60e9a8"
"2024-09-08","31","international","1","siantestehubieraconocido-a684e71094"
"2024-09-08","31","international","2","espresso-850bade631"
"2024-09-08","31","international","3","illusion-b2810a35a4"
"2024-09-08","31","international","4","luna-3eac47e0df"
"2024-09-08","31","international","5","outsideoflove-7f7d6b8292"
"2024-09-08","31","international","6","alibi-5144249763"
"2024-09-08","31","international","7","holaperdidaremix-955c118019"
"2024-09-08","31","international","8","lifetimes-d3b5643c3f"
"2024-09-08","31","international","9","salvame-5fdc541db8"
"2024-09-08","31","international","10","ohnana-e092d936f3"
